State,County,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Michigan,Allegan,360,246,102,11,1,0,0,161,80,42,0,0,200,160,0
Michigan,Bay,363,229,128,3,3,0,0,192,63,42,0,0,0,363,0
Michigan,Benzie,238,198,37,2,1,0,0,156,71,38,0,0,238,0,0
Michigan,Berrien,244,181,52,11,0,0,0,143,80,42,0,0,244,0,0
Michigan,Cass,244,190,45,9,0,0,0,126,71,42,0,0,244,0,0
Michigan,Clinton,240,206,31,3,0,0,0,136,61,38,0,0,240,0,0
Michigan,Genesee,364,238,115,8,3,0,0,178,74,44,0,0,158,206,0
Michigan,Huron,240,209,27,4,0,0,0,133,58,39,0,0,240,0,0
Michigan,Ingham,363,229,123,7,4,0,0,194,73,43,0,2,178,183,0
Michigan,Kalamazoo,358,151,198,6,2,1,0,225,77,53,0,0,97,261,0
Michigan,Kent,365,188,165,9,2,1,0,220,80,49,1,13,153,198,0
Michigan,Keweenaw,119,105,12,2,0,0,0,141,52,16,0,0,0,119,0
Michigan,Lenawee,364,188,166,8,2,0,0,165,70,50,0,0,143,221,0
Michigan,Macomb,364,182,170,8,4,0,0,195,75,51,0,0,120,244,0
Michigan,Manistee,309,244,57,7,1,0,0,161,69,39,0,0,230,79,0
Michigan,Mason,221,178,41,2,0,0,0,143,67,40,0,0,221,0,0
Michigan,Missaukee,362,203,153,4,1,1,0,201,72,48,0,0,88,274,0
Michigan,Monroe,65,59,6,0,0,0,0,82,45,25,0,0,0,0,65
Michigan,Muskegon,242,187,44,11,0,0,0,147,87,41,0,0,242,0,0
Michigan,Oakland,261,193,58,9,1,0,0,169,74,41,0,0,208,53,0
Michigan,Ottawa,356,176,172,5,2,1,0,227,74,51,0,0,105,251,0
Michigan,Schoolcraft,360,298,59,3,0,0,0,134,61,36,0,0,191,169,0
Michigan,St. Clair,362,186,163,9,4,0,0,197,71,49,0,0,106,256,0
Michigan,Tuscola,362,324,32,5,1,0,0,154,51,34,0,0,362,0,0
Michigan,Washtenaw,365,168,184,9,2,2,0,218,76,52,0,0,121,244,0
Michigan,Wayne,365,70,272,19,3,1,0,226,89,61,0,2,33,329,1
Michigan,Wexford,359,314,42,3,0,0,0,105,61,35,0,0,359,0,0
