X,Y,OBJECTID,Facility,County,Address,City,ZipCode,Type,ResidentialWellsSampled,SiteLead,SiteLeadEmail,SiteLeadPhone,Hyperlink,Longitude,Latitude,FacilityDate
530647.490992371,283887.22274498,1,Belmont - House St.,Kent,1855 House Street,Rockford,49341,Landfill,Yes,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/house-street-disposal-area,-85.621686,43.105358,
535641.65332579,285817.432551924,2,Rockford Tannery,Kent,123 North Main Street,Rockford,49341,Tannery,No,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/rockford-tannery,-85.560182,43.122506,
595997.8693689,453501.01737759,3,Camp Grayling - Lake Margrethe,Crawford,Camp Grayling - Lake Margrethe Area,Grayling,49738,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-lake-margrethe,-84.78779,44.626681,
393099.478057023,645124.236373253,4,K.I. Sawyer AFB,Marquette,225 Airport Ave,Gwinn,49841,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/marquette-county/ki-sawyer-air-force-base,-87.3873,46.3496,2017/10/31 16:00:00+00
710365.618452443,437625.89059939,5,Wurtsmith AFB,Iosco,No Address - former Air Force Base,Oscoda,48750,Military,Yes,Amy Handley,HandleyA@Michigan.gov,517-898-3356,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/wurtsmith,-83.353421,44.459534,2019/05/01 16:00:00+00
718908.485387961,280004.154976781,6,Lapeer Plating & Plastics,Lapeer,395 Demille Road,"Lapeer
",48446,Plating,No,Brian Zuber,ZuberB@Michigan.gov,517-388-0267,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lapeer-county/lapeer-plating-plastics,-83.310559,43.03889,2017/11/01 00:00:00+00
615460.121177089,244193.806843778,7,Adams Plating,Ingham,521 N. Rosemary,Lansing,48917,Plating,No,Mark Reimann,ReimannM@Michigan.gov ,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/adams-plating,-84.587871,42.73954,
701673.692188545,505551.262609368,8,Alpena Hide and Leather Co.,Alpena,817 and 819 W. Miller Street,Alpena,49707,Tannery,No,Janice Adams,AdamsJ1@Michigan.gov ,989-619-4211,"https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-hide-and-leather
",-83.435792,45.07299,
710785.315958215,435505.229207917,9,Whispering Pines MHC,Iosco,4263 Bissonette,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.349011,44.440336,
688326.121984378,285653.85889284,10,Coldwater Road Landfill & Peregrine,Genesee,1245 Coldwater Road,Flint,48458,Landfill,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/coldwater-road-landfill,-83.683883,43.098026,
598159.738240663,340895.534046806,11,Roosevelt Refinery,Isabella,600 W Pickard Street,Mount Pleasant,48858,Refinery,No,Larry Engelhart,EngelhartL@Michigan.gov ,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/roosevelt-refinery,-84.781676,43.612701,
691446.889769339,504686.314416811,13,Alpena Combat Readiness Center,Alpena,5884 A St.,Alpena,49707,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-crtc,-83.56593683,45.06803886,
417359.779823333,582753.392203572,14,Escanaba Defense Fuel Supply Point,Delta,6734 P Road,Escanaba,49829,Military,Yes,Kenneth Heitkamp,HeitkampK@Michigan.gov,517-930-5218,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/delta-county/escanaba-dfsp,-87.06124303,45.79168882,2017/10/31 16:00:00+00
709337.732165511,439225.096930938,15,Van Etten Lake,Iosco,No address - Lake,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36568555,44.47421724,2017/11/03 00:00:00+00
709674.583537302,439861.371704626,16,Loud Drive,Iosco,No Address - large area of homes - E. side of Van Etten Lake,Oscoda,48750,MIlitary,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36119628,44.47984324,2017/11/03 00:00:00+00
707447.726568421,440353.501351969,17,Colbath Road,Iosco,No Address - large area of homes,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.38897836,44.48491182,2017/11/03 00:00:00+00
708886.403365699,433513.48150737,18,Oscoda Area Schools,Iosco,3550 River Road,Oscoda,48750,Unknown,Yes,Megan Berry,BerryM5Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.37365458,44.42296907,2017/11/03 00:00:00+00
704787.551452776,442848.655023994,19,McDonald Store Fire (aka F-41),Iosco,No address-business burned-corner of F-41 and King's Corner Road,Oscoda,48750,Fire Related,Yes,Megan Berry,BerryM5@Michigan.gov,989-295-3877,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.42141847,44.50811494,2017/11/03 00:00:00+00
533487.901160388,275942.224381859,20,State Disposal Superfund,Kent,3954 East Beltline Rd,Grand Rapids,49525,Landfill,Yes,Erik Martinson,MartinsonE@michigan.gov,517-285-3978,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/state-disposal-superfund-site,-85.58728976,43.03369008,2017/11/03 00:00:00+00
615737.767201712,243976.080471294,21,"RACER Lansing Plants 2,3,6",Ingham,"2800 West Saginaw Street; 2801 West Saginaw Street; Corner of W. MI Ave and N. Verlinden",Lansing,48917,Industrial,No,Christine Matlock,MatlockC2@Michigan.gov,517-290-4612,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/racer-plants-2-3-6,-84.58452515,42.73753664,2017/11/03 00:00:00+00
